Department,Course,Year,Total Grades,"D, F, W Grades",% DFW,Difficulty
A B E,102X,2016.5,76.5,3.0,4.0,1.0
A B E,110,2016.5,108.0,2.25,2.25,1.0
A B E,160,2016.0,50.5,7.625,15.5,3.5
A B E,170,2016.0,53.625,2.625,5.125,1.5
A B E,201,2016.0,35.875,0.5,1.5,1.0
A B E,216,2015.5,84.0,11.75,13.5,3.0
A B E,218,2016.5,65.75,0.0,0.0,1.0
A B E,271,2016.0,27.25,3.125,12.625,2.875
A B E,272,2016.0,27.5,4.125,17.125,3.75
A B E,273,2017.0,26.5,1.75,6.25,1.75
A B E,273X,2015.0,15.0,1.0,7.0,1.0
A B E,316,2016.142857142857,36.42857142857143,1.5714285714285714,4.857142857142857,1.4285714285714286
A B E,325,2015.5,22.0,0.75,3.5,1.0
A B E,340,2015.5,30.25,0.25,0.75,1.0
A B E,342,2016.5,39.25,0.0,0.0,1.0
A B E,363,2016.1666666666667,43.0,1.3333333333333333,3.0,1.0
A B E,380,2016.5,23.0,0.25,1.5,1.0
A B E,388,2015.5,7.25,0.25,2.75,1.25
A B E,403,2016.0,9.5,3.0,28.0,7.0
A B E,404,2015.5,47.25,1.25,2.75,1.0
A B E,408,2014.0,6.0,0.0,0.0,1.0
A B E,410,2016.6666666666667,12.0,0.6666666666666666,4.666666666666667,1.0
A B E,413,2015.5,27.5,1.0,3.25,1.0
A B E,415,2016.0,27.0,0.0,0.0,1.0
A B E,416,2016.0,23.75,0.0,0.0,1.0
A B E,418,2016.5,29.166666666666668,2.1666666666666665,9.0,2.0
A B E,418X,2014.5,13.5,0.5,7.0,2.0
A B E,424A,2015.5,5.5,0.5,8.5,2.5
A B E,424B,2015.0,5.0,1.0,20.0,5.0
A B E,424D,2015.5,3.0,0.5,50.0,5.5
A B E,424E,2015.0,4.0,0.0,0.0,1.0
A B E,431,2015.5,12.75,1.0,8.25,2.0
A B E,432,2016.0,2.0,0.5,50.0,5.5
A B E,436,2017.0,12.0,2.0,17.0,4.0
A B E,437,2017.0,1.0,0.0,0.0,1.0
A B E,451,2016.0,8.25,0.0,0.0,1.0
A B E,466,2015.0,1.0,1.0,100.0,10.0
A B E,469,2016.5,28.0,0.25,1.25,1.0
A B E,472,2017.0,23.0,1.5,6.0,1.0
A B E,475,2016.8,2.4,0.2,6.6,2.2
A B E,475X,2014.0,1.0,0.0,0.0,1.0
A B E,478,2016.0,30.0,1.0,3.0,1.0
A B E,480,2015.5,15.75,0.0,0.0,1.0
A B E,490B,2017.0,1.3333333333333333,0.3333333333333333,16.666666666666668,4.0
A B E,490E,2017.3333333333333,1.0,0.0,0.0,1.0
A B E,490F,2017.5,1.0,0.0,0.0,1.0
A B E,490G,2017.0,1.0,0.0,0.0,1.0
A B E,490H,2016.0,1.3333333333333333,0.0,0.0,1.0
A B E,490L,2016.6666666666667,1.3333333333333333,0.0,0.0,1.0
A B E,490M,2017.5,1.0,0.0,0.0,1.0
A B E,490P,2014.5,1.0,0.0,0.0,1.0
A B E,490Q,2015.0,1.0,0.0,0.0,1.0
A B E,490R,2015.0,2.0,0.0,0.0,1.0
A B E,490S,2015.0,1.0,0.0,0.0,1.0
A B E,495,2018.0,2.0,0.0,0.0,1.0
A B E,496,2017.5,6.5,0.0,0.0,1.0
A B E,496D,2015.0,3.0,0.0,0.0,1.0
A E,110,2009.0,51.36363636363637,1.6363636363636365,3.090909090909091,1.0
A E,160X,2009.0,26.0,3.0,9.0,2.5
A E,170,2012.5,35.666666666666664,2.6666666666666665,7.5,1.8333333333333333
A E,170X,2010.5,30.5,1.0,2.0,1.0
A E,201,2010.2,22.133333333333333,1.2666666666666666,4.8,1.2666666666666666
A E,203,2005.2857142857142,31.142857142857142,3.2857142857142856,10.0,2.7142857142857144
A E,216,2008.7272727272727,37.54545454545455,4.363636363636363,11.0,2.5454545454545454
A E,218,2013.0,34.0,1.0,2.3333333333333335,1.0
A E,271,2008.5,23.636363636363637,0.9090909090909091,3.9545454545454546,1.3181818181818181
A E,272,2008.5,25.818181818181817,3.4545454545454546,13.818181818181818,3.227272727272727
A E,273X,2014.0,9.0,2.0,22.0,5.0
A E,301,2008.142857142857,17.142857142857142,0.14285714285714285,0.5714285714285714,1.0
A E,316,2011.0,29.8,3.0,9.4,2.0
A E,325,2011.0,10.8,0.2,1.4,1.0
A E,326X,2008.0,2.0,0.0,0.0,1.0
A E,340,2008.5,25.9,0.8,3.1,1.0
A E,342,2009.0,37.18181818181818,0.2727272727272727,0.8181818181818182,1.0
A E,363,2008.0,34.45454545454545,1.0909090909090908,2.909090909090909,1.0
A E,388,2010.0,6.0,0.0,0.0,1.0
A E,388X,2005.5,2.5,0.0,0.0,1.0
A E,401,2006.7777777777778,21.555555555555557,0.2222222222222222,1.1111111111111112,1.0
A E,403,2009.0,3.0,0.6,16.6,4.0
A E,404,2008.0,25.545454545454547,0.18181818181818182,0.9090909090909091,1.0
A E,405,2003.0,1.0,1.0,100.0,10.0
A E,408,2010.0,3.2857142857142856,0.8571428571428571,21.0,4.0
A E,410,2012.5,12.0,0.0,0.0,1.0
A E,410X,2010.0,7.666666666666667,0.3333333333333333,4.333333333333333,1.6666666666666667
A E,411,2010.5,3.0,0.0,0.0,1.0
A E,413,2008.0,22.636363636363637,0.6363636363636364,2.8181818181818183,1.0909090909090908
A E,415,2008.7142857142858,14.380952380952381,0.047619047619047616,0.8095238095238095,1.1428571428571428
A E,416,2008.5,13.272727272727273,0.0,0.0,1.0
A E,421,2004.0,13.0,1.0,8.0,2.0
A E,423X,2013.5,7.0,0.0,0.0,1.0
A E,424A,2013.5,3.5,0.0,0.0,1.0
A E,424B,2013.5,3.0,0.5,16.5,4.0
A E,424C,2014.0,1.0,0.0,0.0,1.0
A E,424E,2013.5,2.0,0.0,0.0,1.0
A E,431,2009.7272727272727,9.0,0.45454545454545453,5.2727272727272725,1.8181818181818181
A E,432X,2010.0,2.5,1.0,62.5,8.0
A E,436,2012.0,4.666666666666667,0.3333333333333333,8.333333333333334,2.6666666666666665
A E,436X,2007.0,1.0,1.0,100.0,10.0
A E,441,2003.0,2.0,0.0,0.0,1.0
A E,447,2003.5,25.5,1.0,5.5,1.5
A E,451,2011.0,5.5,0.0,0.0,1.0
A E,466,2012.3333333333333,1.0,0.0,0.0,1.0
A E,469,2009.0,13.181818181818182,0.2727272727272727,2.1818181818181817,1.2727272727272727
A E,472,2008.4285714285713,13.428571428571429,1.0,7.285714285714286,2.2857142857142856
A E,478,2009.0,18.6,0.6,3.4,1.0
A E,480,2007.0,6.666666666666667,0.0,0.0,1.0
A E,490B,2007.6666666666667,2.3333333333333335,0.0,0.0,1.0
A E,490C,2005.0,4.222222222222222,0.2222222222222222,3.6666666666666665,1.6666666666666667
A E,490E,2007.0,1.2,0.0,0.0,1.0
A E,490F,2011.0,1.0,0.0,0.0,1.0
A E,490H,2007.5,1.25,0.0,0.0,1.0
A E,490P,2007.6842105263158,2.210526315789474,0.10526315789473684,7.0,1.7894736842105263
A E,490Q,2007.8,1.0,0.0,0.0,1.0
A E,490R,2008.0,1.0,0.0,0.0,1.0
A E,490S,2008.8947368421052,3.736842105263158,0.10526315789473684,5.2631578947368425,1.9473684210526316
A E,490U,2009.0,1.0,0.0,0.0,1.0
A E,496C,2011.0,2.0,0.0,0.0,1.0
A E,496X,2010.0,1.0,1.0,100.0,10.0
A ECL,120,2003.0,9.0,0.0,0.0,1.0
A ECL,130,2004.5,55.5,15.0,23.5,5.5
A ECL,211,2004.0,50.0,0.75,1.25,1.0
A ECL,231X,2017.5,9.0,0.5,4.5,1.5
A ECL,310,2003.5,115.0,31.5,27.0,6.5
A ECL,312,2010.258064516129,48.74193548387097,11.161290322580646,18.35483870967742,4.387096774193548
A ECL,321,2011.0,17.2,0.6,4.133333333333334,1.3333333333333333
A ECL,330,2004.5,44.5,3.0,7.0,1.5
A ECL,333,2016.5,10.5,2.0,18.0,4.0
A ECL,333X,2014.5,12.0,0.0,0.0,1.0
A ECL,350,2004.5,40.0,3.5,9.0,2.0
A ECL,360,2005.0,16.0,2.0,13.0,3.0
A ECL,361,2004.5,27.25,1.5,5.5,1.0
A ECL,362,2005.0,27.666666666666668,1.6666666666666667,6.333333333333333,1.6666666666666667
A ECL,363,2005.0,40.333333333333336,1.3333333333333333,3.3333333333333335,1.0
A ECL,364,2004.5,24.0,1.8333333333333333,8.5,1.8333333333333333
A ECL,365,2011.0,113.3076923076923,32.0,28.76923076923077,6.769230769230769
A ECL,366,2013.0,47.72727272727273,1.9090909090909092,4.7272727272727275,1.4545454545454546
A ECL,366X,2007.0,43.0,1.0,2.0,1.0
A ECL,371,2011.3076923076924,30.615384615384617,5.923076923076923,18.307692307692307,4.230769230769231
A ECL,401,2011.0,10.533333333333333,0.7333333333333333,6.066666666666666,1.9333333333333333
A ECL,410,2003.5,18.5,2.0,10.5,2.0
A ECL,410L,2003.5,15.0,4.0,32.5,7.5
A ECL,411,2004.5,12.5,0.5,3.0,1.0
A ECL,413,2004.5,13.5,4.0,29.0,6.5
A ECL,415,2014.0,17.333333333333332,1.3333333333333333,7.333333333333333,2.0
A ECL,418,2012.0,10.0,0.3333333333333333,3.0,1.3333333333333333
A ECL,425,2011.0,4.428571428571429,0.5714285714285714,9.857142857142858,3.142857142857143
A ECL,430,2003.0,14.0,0.0,0.0,1.0
A ECL,440,2010.0666666666666,9.933333333333334,0.4666666666666667,4.0,1.6666666666666667
A ECL,441,2008.0,9.0,1.0,11.333333333333334,3.0
A ECL,441X,2006.0,12.0,1.0,8.0,2.0
A ECL,442,2010.6363636363637,17.727272727272727,2.909090909090909,15.727272727272727,3.8181818181818183
A ECL,450X,2004.0,10.0,0.0,0.0,1.0
A ECL,451,2010.5,26.8125,0.5,1.9375,1.0
A ECL,454,2015.0,33.857142857142854,0.2857142857142857,0.8571428571428571,1.0
A ECL,454X,2009.5,26.5,0.25,0.75,1.0
A ECL,455,2011.1666666666667,24.166666666666668,0.5,2.0,1.0
A ECL,457,2015.5,31.5,1.75,5.25,1.25
A ECL,457L,2015.5,30.0,0.75,2.75,1.0
A ECL,458,2013.0,30.90909090909091,5.7272727272727275,17.545454545454547,3.909090909090909
A ECL,458L,2016.0,30.8,8.4,28.0,6.6
A ECL,458X,2007.0,17.0,6.0,35.0,8.0
A ECL,459,2013.0,49.72727272727273,2.1818181818181817,5.2727272727272725,1.6363636363636365
A ECL,459L,2016.0,57.2,1.8,3.2,1.0
A ECL,459X,2007.0,30.0,4.0,13.0,3.0
A ECL,486,2011.9411764705883,13.294117647058824,3.1176470588235294,29.41176470588235,5.529411764705882
A ECL,486L,2011.357142857143,12.214285714285714,1.7142857142857142,17.5,3.2142857142857144
A ECL,490,2003.0,1.0,0.0,0.0,1.0
A ECL,496A,2003.0,8.0,0.0,0.0,1.0
A M D,121,2017.0,50.0,6.75,14.25,3.25
A M D,131,2015.0,193.0,14.2,7.2,1.4
A M D,165,2015.5384615384614,230.46153846153845,10.461538461538462,4.846153846153846,1.1538461538461537
A M D,178,2016.0,41.75,5.0,12.875,2.75
A M D,204,2015.5,93.8,10.0,11.1,2.4
A M D,204H,2017.5,1.0,0.0,0.0,1.0
A M D,210,2015.5,69.6,8.0,11.5,2.4
A M D,221,2014.5,43.5,9.833333333333334,21.5,5.0
A M D,225,2015.5,24.7,4.2,16.6,3.8
A M D,231,2015.5,66.5,2.3,3.5,1.0
A M D,245,2015.5,74.4,8.3,11.2,2.7
A M D,257,2015.0,21.8,2.8,12.2,2.8
A M D,275,2017.0,118.5,8.25,7.25,1.5
A M D,278,2015.5,22.6,1.6,7.4,1.9
A M D,301,2014.5,23.166666666666668,6.333333333333333,25.166666666666668,5.666666666666667
A M D,305,2015.0,14.6,0.2,2.0,1.2
A M D,310,2017.0,11.666666666666666,2.0,16.666666666666668,4.0
A M D,321,2015.375,26.0,1.125,4.875,1.375
A M D,325,2015.5,16.0,1.3,9.2,2.0
A M D,328,2014.4,11.2,0.4,2.8,1.4
A M D,329,2017.5,10.5,1.0,9.5,2.0
A M D,329X,2015.5,10.833333333333334,0.8333333333333334,6.166666666666667,1.8333333333333333
A M D,354,2015.0,82.0,12.4,13.4,2.8
A M D,354H,2017.0,1.0,0.0,0.0,1.0
A M D,356,2016.0,83.0,6.4,6.4,1.6
A M D,362,2016.0,54.8,7.3,14.3,3.3
A M D,372,2015.5,61.8,3.1,5.5,1.4
A M D,376,2015.3333333333333,52.333333333333336,4.111111111111111,7.333333333333333,1.7777777777777777
A M D,377,2017.0,48.5,1.0,1.5,1.0
A M D,404,2015.6666666666667,7.666666666666667,0.6666666666666666,8.666666666666666,2.3333333333333335
A M D,415,2015.0,35.4,1.0,2.8,1.0
A M D,426,2015.25,18.0,0.25,2.5,1.5
A M D,431,2016.0,20.8,1.4,8.6,2.0
A M D,458X,2018.0,6.0,1.0,17.0,4.0
A M D,467,2015.0,69.2,0.6,1.2,1.0
A M D,475,2015.6666666666667,39.55555555555556,1.5555555555555556,4.222222222222222,1.3333333333333333
A M D,477,2017.5,106.0,4.5,4.0,1.0
A M D,490A,2015.75,2.0,0.0,0.0,1.0
A M D,490B,2016.3333333333333,1.3333333333333333,0.0,0.0,1.0
A M D,490C,2015.5,6.2,0.3,3.2,1.4
A M D,490D,2015.25,15.75,1.25,3.25,1.5
A M D,490E,2016.0,6.333333333333333,0.0,0.0,1.0
A M D,490F,2016.3333333333333,10.0,4.333333333333333,15.333333333333334,4.0
A M D,490H,2015.1666666666667,1.3333333333333333,0.16666666666666666,5.5,2.0
A M D,490I,2015.111111111111,11.555555555555555,3.3333333333333335,8.333333333333334,2.6666666666666665
A M D,490J,2018.0,3.0,0.0,0.0,1.0
A M D,490M,2015.0,1.0,0.0,0.0,1.0
A M D,490O,2014.5,7.666666666666667,0.16666666666666666,1.1666666666666667,1.0
