Year,Class,Total Grades,"D, F, W Grades",% DFW
2003,A E 203,46.0,6.0,13.0
2003,A E 271,18.0,1.0,6.0
2003,A E 272,30.0,1.0,3.0
2003,A E 363,33.0,1.0,3.0
2003,A E 401,22.0,0.0,0.0
2003,A E 404,10.0,0.0,0.0
2003,A E 405,1.0,1.0,100.0
2003,A E 413,16.0,0.0,0.0
2003,A E 415,12.0,0.0,0.0
2003,A E 416,6.0,0.0,0.0
2003,A E 441,2.0,0.0,0.0
2003,A E 447,18.0,2.0,11.0
2003,A E 490C,3.0,0.0,0.0
2003,A E 490E,1.0,0.0,0.0
2003,A E 490P,1.0,0.0,0.0
2003,A E 490Q,1.0,0.0,0.0
2003,A ECL 120,9.0,0.0,0.0
2003,A ECL 211,60.0,3.0,5.0
2003,A ECL 310,115.0,35.0,30.0
2003,A ECL 312,44.5,10.5,13.0
2003,A ECL 361,27.0,2.0,7.0
2003,A ECL 364,30.0,3.0,10.0
2003,A ECL 410,10.0,1.0,10.0
2003,A ECL 410L,7.0,3.0,43.0
2003,A ECL 430,14.0,0.0,0.0
2003,A ECL 440,13.0,0.0,0.0
2003,A ECL 451,27.0,0.0,0.0
2003,A ECL 490,1.0,0.0,0.0
2003,A ECL 496A,8.0,0.0,0.0
2003,ACCT 215,368.0,20.5,6.0
2003,ACCT 284,548.0,82.5,15.0
2003,ACCT 284H,14.0,0.0,0.0
2003,ACCT 285,325.0,72.0,26.5
2003,ACCT 316,39.0,4.0,10.0
2003,ACCT 383,65.5,5.5,6.5
2003,ACCT 384,52.5,3.5,5.5
2003,ACCT 386,135.0,23.0,17.0
2003,ACCT 387,64.0,18.0,28.0
2003,ACCT 485,45.0,4.0,9.0
2003,ACCT 490,4.0,0.0,0.0
2003,ACCT 495,31.0,8.0,26.0
2003,ACCT 497,34.0,1.0,3.5
2003,ADVRT 230,246.0,32.0,13.0
2003,ADVRT 301,36.0,2.5,4.5
2003,ADVRT 334,19.0,2.0,11.0
2003,ADVRT 335,45.0,2.0,4.0
2003,ADVRT 434,37.0,3.0,8.0
2003,ADVRT 436,15.0,5.0,33.0
2003,AER E 160,101.0,16.0,16.0
2003,AER E 160H,19.0,0.0,0.0
2003,AER E 161,29.0,6.0,21.0
2003,AER E 202,73.0,11.0,15.0
2003,AER E 243,41.0,17.0,41.0
