,Year,Semester,College,Department,Course,Title,Total Grades,"D, F, W Grades",% DFW
220,2008,Fall,CALS,A E,201,ENTREPRN&INTERN SEM,27,0,0
239,2008,Fall,CALS,A E,203,CMPTR APPL&MODELING,19,4,21
263,2008,Fall,CALS,A E,271,PARAM SLD MODEL ENG,24,1,4
285,2008,Fall,CALS,A E,272,PRO/ENG MOD&ASSEMBL,21,4,19
301,2008,Fall,CALS,A E,301,LEADRSHP& ETHCS SEM,12,0,0
316,2008,Fall,CALS,A E,326X,BIORENEWABLE SYSTMS,2,0,0
321,2008,Fall,CALS,A E,340,ANALY&DS FIELD MACH,30,1,3
343,2008,Fall,CALS,A E,363,ELEC POWR&ELECTRONC,35,2,6
350,2008,Fall,CALS,A E,388,SUSTNBL E&INT'L DEV,3,0,0
363,2008,Fall,CALS,A E,401,PROFESSIONLSM SEMNR,26,1,4
377,2008,Fall,CALS,A E,404,A B E INSTRUMENTATN,24,0,0
385,2008,Fall,CALS,A E,408,GIS &NAT RESRCE MGT,2,0,0
403,2008,Fall,CALS,A E,413,FLUID POWER ENGR,24,1,4
417,2008,Fall,CALS,A E,415,AGRIC ENGR DESIGN I,13,0,0
439,2008,Fall,CALS,A E,416,AG ENGR DESIGN II,18,0,0
465,2008,Fall,CALS,A E,431,SOIL&WTR CONSRVSYS,10,1,10
514,2008,Fall,CALS,A E,480,ENGR ANALY BIOL SYS,7,0,0
552,2008,Fall,CALS,A E,490P,IND STDY POWER ENGR,1,0,0
580,2008,Fall,CALS,A E,490S,IND STU ENVIR&N RES,7,0,0
616,2008,Fall,CALS,A ECL,312,ECOLOGY,60,12,20
680,2008,Fall,CALS,A ECL,365,VERTEBRATE BIOLOGY,77,18,23
705,2008,Fall,CALS,A ECL,371,ECOLOGICAL METHODS,34,16,47
771,2008,Fall,CALS,A ECL,441,FISHERIES TECHNQUES,11,1,9
791,2008,Fall,CALS,A ECL,451,WILDLIFE ECOL &MGMT,21,1,5
814,2008,Fall,CALS,A ECL,455,INT'L WILDLIFE ISSU,25,0,0
863,2008,Fall,CALS,A ECL,486,AQUATIC ECOLOGY,16,1,6
881,2008,Fall,CALS,A ECL,486L,AQUATIC ECOLOGY LAB,11,0,0
1331,2008,Fall,BUS,ACCT,215,LEGAL ENVIRONMT BUS,514,39,8
1377,2008,Fall,BUS,ACCT,284,FINANCIAL ACCOUNTNG,899,81,9
1426,2008,Fall,BUS,ACCT,285,MANAGERIAL ACCOUNTG,380,37,10
1496,2008,Fall,BUS,ACCT,316,BUSINESS LAW,17,0,0
1523,2008,Fall,BUS,ACCT,383,INTMD MANAGERL ACCT,104,19,18
1565,2008,Fall,BUS,ACCT,384,ACCT INFO SYSTEMS,110,8,7
1601,2008,Fall,BUS,ACCT,386,INTMED ACCOUNTING I,106,15,14
1641,2008,Fall,BUS,ACCT,387,INTMD ACCOUNTING II,105,31,30
1691,2008,Fall,BUS,ACCT,485,PRIN FED INCOME TAX,93,12,13
1758,2008,Fall,BUS,ACCT,490,INDEPENDENT STUDY,1,0,0
1777,2008,Fall,BUS,ACCT,495,ADV ACCT PROBLEMS,14,3,21
1830,2008,Fall,BUS,ACCT,497,INTRO TO AUDITING,44,2,5
1877,2008,Fall,LAS,ADVRT,230,ADVERTISING PRINCIP,246,18,7
1916,2008,Fall,LAS,ADVRT,301,STRATEG PLAN AD&P R,72,3,4
1954,2008,Fall,LAS,ADVRT,334,ADVERTSNG CREATIVTY,34,1,3
1984,2008,Fall,LAS,ADVRT,335,ADVERT MEDIA PLANNG,23,1,4
2041,2008,Fall,LAS,ADVRT,434,ADVERTISING CAMPGNS,20,2,10
2083,2008,Fall,LAS,ADVRT,497,SPL TOPICS COMMUNIC,19,3,16
2123,2008,Fall,ENGR,AER E,101H,ENGR HONORS ORIENTA,69,0,0
2126,2008,Fall,ENGR,AER E,112,ORIEN LEARNING&TEAM,1,1,100
2142,2008,Fall,ENGR,AER E,160,AEROSPAC ENG PROBLM,113,25,22
2168,2008,Fall,ENGR,AER E,160H,HONORS AER ENG PROB,69,3,4
2188,2008,Fall,ENGR,AER E,161,NUM&GRAPHC&LAB TCNQ,14,3,21
2239,2008,Fall,ENGR,AER E,243,AERODYNAMICS I,37,0,0
2259,2008,Fall,ENGR,AER E,243L,AERODYNAMICS LAB I,31,0,0
2273,2008,Fall,ENGR,AER E,261,INTRO AEROSPAC ENGR,106,39,37
2299,2008,Fall,ENGR,AER E,265,SCI BALLOON ENGR&OP,4,0,0
2314,2008,Fall,ENGR,AER E,290C,INDEPENDENT STUDY,21,0,0
2388,2008,Fall,ENGR,AER E,321,FLIGHT STRUCT ANALY,96,6,6
2473,2008,Fall,ENGR,AER E,351,ASTRODYNAMICS I,73,11,15
2493,2008,Fall,ENGR,AER E,351H,HONORS ASTRODYNAM I,15,1,7
2501,2008,Fall,ENGR,AER E,355,AIRCRFT FLI DYN&CTL,98,9,9
2526,2008,Fall,ENGR,AER E,361,COMP TECHNQ AER DSN,32,2,6
2566,2008,Fall,ENGR,AER E,411,AERO VEHIC PROPUL I,69,4,6
2619,2008,Fall,ENGR,AER E,422,VIBRATN&AEROELASTIC,16,5,31
2626,2008,Fall,ENGR,AER E,423,COMPOSITE FLT STRUC,44,1,2
2672,2008,Fall,ENGR,AER E,446,COMPUT FLUID DYNAM,27,5,19
2695,2008,Fall,ENGR,AER E,451,ASTRODYNAMICS II,12,3,25
2727,2008,Fall,ENGR,AER E,461,MOD DESIGN METHODOL,49,2,4
2757,2008,Fall,ENGR,AER E,462,DESIGN AEROSPAC SYS,25,1,4
2798,2008,Fall,ENGR,AER E,466,MULTIDISC ENGR DSGN,9,1,11
2827,2008,Fall,ENGR,AER E,486X,"ART,DSIGN&ENGINEERI",7,1,14
2835,2008,Fall,ENGR,AER E,490A,IND STU A/GAS DYNAM,5,0,0
2875,2008,Fall,ENGR,AER E,490C,IND STU AEROS STRUC,6,0,0
2909,2008,Fall,ENGR,AER E,490E,IND STU SPACECR SYS,5,0,0
2937,2008,Fall,ENGR,AER E,490F,IND ST FLT CONT SYS,2,0,0
2962,2008,Fall,ENGR,AER E,490H,INDEP STUDY HONORS,1,0,0
2981,2008,Fall,ENGR,AER E,490I,INDEP STUDY DESIGN,1,0,0
2997,2008,Fall,ENGR,AER E,490J,IND STU NONDESTR EV,6,1,17
3025,2008,Fall,ENGR,AER E,490O,INDEPENDENT STUDY,3,0,0
3070,2008,Fall,H SCI,AESHM,111X,PRO DEVEL FOR AESHM,195,16,8
3287,2008,Fall,H SCI,AESHM,287,PRIN MGMT HUMAN SCI,68,6,9
3347,2008,Fall,H SCI,AESHM,342,AESTHETC OF EVERYDY,80,12,15
3388,2008,Fall,H SCI,AESHM,379,COMMUNITY LEADERSHP,27,2,7
3599,2008,Fall,H SCI,AESHM,477,MLTI-CHANNL RETAILI,37,0,0
3621,2008,Fall,INDIS,AF AM,201,INTRO AFRIC AMER ST,33,9,27
