,Year,Semester,College,Department,Course,Title,Total Grades,"D, F, W Grades",% DFW
631,2016,Summer,CALS,A ECL,312,ECOLOGY,9,0,0
875,2016,Summer,CALS,A ECL,486,AQUATIC ECOLOGY,3,2,67
889,2016,Summer,CALS,A ECL,486L,AQUATIC ECOLOGY LAB,3,3,100
1061,2016,Summer,H SCI,A M D,362,CULTUR PERSPC DRESS,45,7,16
1156,2016,Summer,H SCI,A M D,490F,IND STU SOC&PSY T C,1,0,0
1170,2016,Summer,H SCI,A M D,490I,IND STDY MERCHANDSG,2,0,0
1354,2016,Summer,BUS,ACCT,215,LEGAL ENVIRONMT BUS,41,2,5
1400,2016,Summer,BUS,ACCT,284,FINANCIAL ACCOUNTNG,48,4,8
1449,2016,Summer,BUS,ACCT,285,MANAGERIAL ACCOUNTG,35,2,6
1476,2016,Summer,BUS,ACCT,301,THE ACCOUNTNG CYCLE,29,8,28
1546,2016,Summer,BUS,ACCT,383,INTMD MANAGERL ACCT,17,0,0
1624,2016,Summer,BUS,ACCT,386,INTMED ACCOUNTING I,24,4,17
1763,2016,Summer,BUS,ACCT,490,INDEPENDENT STUDY,1,0,0
1853,2016,Summer,BUS,ACCT,497,INTRO TO AUDITING,17,0,0
2113,2016,Summer,LAS,ADVRT,499A,PRO MDIA INTERN:REQ,49,3,6
2401,2016,Summer,ENGR,AER E,321,FLIGHT STRUCT ANALY,16,5,31
3014,2016,Summer,ENGR,AER E,490J,IND STU NONDESTR EV,1,0,0
3042,2016,Summer,ENGR,AER E,490O,INDEPENDENT STUDY,1,0,0
3106,2016,Summer,H SCI,AESHM,170D,SUPV WRK EXP I:HSPY,3,0,0
3127,2016,Summer,H SCI,AESHM,170F,SUPV WRK EXP I:EVNT,2,0,0
3152,2016,Summer,H SCI,AESHM,170P,SU WRK EXP I:DINING,1,0,0
3180,2016,Summer,H SCI,AESHM,222,CRTV THINK&PRB SOLV,50,4,8
3200,2016,Summer,H SCI,AESHM,270D,SUP WRK EXP II:HSPY,20,2,10
3216,2016,Summer,H SCI,AESHM,270F,SUP WRK EXP II:EVNT,3,1,33
3369,2016,Summer,H SCI,AESHM,342,AESTHTCS CNSMR EXPC,88,8,9
3492,2016,Summer,H SCI,AESHM,470D,INTERNSHIP HOSPTLTY,33,2,6
3513,2016,Summer,H SCI,AESHM,470F,INTERNSHP EVENT MGT,83,3,4
3549,2016,Summer,H SCI,AESHM,470N,INTERNSHIP APPAREL,96,0,0
3640,2016,Summer,INDIS,AF AM,201,INTRO AFRIC AMER ST,77,13,17
3689,2016,Summer,INDIS,AF AM,330,ETHNIC&RACE RELATNS,13,1,8
3761,2016,Summer,INDIS,AF AM,473,CIV RIGHTS& ETH PWR,1,0,0
4320,2016,Summer,CALS,AGEDS,311,PRESENTN STRATEGIES,6,1,17
4379,2016,Summer,CALS,AGEDS,315,LEADERSHIP IN AGRIC,19,0,0
4395,2016,Summer,CALS,AGEDS,327,ADV COMM AG&LIF SCI,23,2,9
4488,2016,Summer,CALS,AGEDS,412,INTERNSHIP IN AGEDS,1,0,0
4601,2016,Summer,CALS,AGEDS,450,FARM MGMT&OPERATION,13,0,0
4694,2016,Summer,CALS,AGEDS,490A,"IND STU PHIL,CURRIC",2,0,0
4847,2016,Summer,CALS,AGEDS,499,UNDERGRAD RESEARCH,1,0,0
4925,2016,Summer,CALS,AGRON,120,INTR RENEW RESOURCS,8,1,13
5062,2016,Summer,CALS,AGRON,206,INTRO WEATHER&CLIMT,14,3,21
5405,2016,Summer,CALS,AGRON,342,WORLD FOOD ISSUES,32,14,44
5894,2016,Summer,CALS,AGRON,497,AGROECOLOGY FLD CRS,1,0,0
5938,2016,Summer,INDIS,AM IN,210,INTR AM INDIAN STDI,64,7,11
6017,2016,Summer,INDIS,AM IN,322,PEOPL&CUL NATV N AM,14,2,14
6227,2016,Summer,CALS,AN S,210,CAREER PREP AN SCI,39,2,5
6623,2016,Summer,CALS,AN S,317B,FND EQUINE TRN YRLG,8,0,0
6884,2016,Summer,CALS,AN S,352,GENET IMPRV DOM ANI,19,1,5
6931,2016,Summer,CALS,AN S,380D,TP ADV SWIN FRW MGT,5,0,0
6960,2016,Summer,CALS,AN S,380G,TP ADV SWIN NRS MGT,4,0,0
7463,2016,Summer,CALS,AN S,490A,IND STDY ANIMAL SCI,2,0,0
7582,2016,Summer,CALS,AN S,496A,AG INT'L TRAVEL CRS,62,0,0
7644,2016,Summer,LAS,ANTHR,201,INTRO CULTURL ANTHR,71,17,24
7680,2016,Summer,LAS,ANTHR,202,INTR BIOL AN&ARCHEO,17,9,53
7801,2016,Summer,LAS,ANTHR,309,INTRO CULTUR&LANGUA,19,4,21
7863,2016,Summer,LAS,ANTHR,322,PEOPL&CUL NATV N AM,14,0,0
7999,2016,Summer,LAS,ANTHR,434A,INTERNSHIP ARCHAEOL,1,0,0
8027,2016,Summer,LAS,ANTHR,445,BIOLOGCL FIELD SCHL,15,0,0
8782,2016,Summer,DSGN,ARCH,490B,INDEP STUDY DESIGN,1,1,100
9128,2016,Summer,DSGN,ART H,386,AMERICN ART TO 1945,49,8,16
9244,2016,Summer,DSGN,ART H,497,MUSEUM/GLLRY INTERN,1,0,0
9705,2016,Summer,DSGN,ARTGR,480,GRPH DSGN INTERNSHP,29,0,0
9878,2016,Summer,DSGN,ARTGR,495,GRAPHIC DSN IN EURO,7,0,0
10135,2016,Summer,DSGN,ARTID,460,INT DSGN INTERNSHIP,58,0,0
10742,2016,Summer,DSGN,ARTIS,308,CPTR MODL&VIR PHOTO,7,1,14
11174,2016,Summer,DSGN,ARTIS,407,PRIN 3D CHAR ANIMAT,16,0,0
11459,2016,Summer,DSGN,ARTIS,490B,INDEP STDY CERAMICS,2,0,0
