Year,College,Total Grades,"D, F, W Grades",% DFW
2003,BUS,147.9558823529412,16.852941176470587,8.235294117647058
2003,CALS,30.131455399061032,3.2535211267605635,9.32394366197183
2003,DSGN,34.89156626506024,3.9096385542168677,10.993975903614459
2003,ENGR,54.62903225806452,6.387096774193548,8.763440860215054
2003,INDIS,36.21176470588235,4.044117647058823,6.670588235294118
2003,LAS,76.04511278195488,12.3203007518797,11.625563909774437
2003,LIB,3556.0,423.0,12.0
2004,BUS,111.75935828877006,12.3475935828877,7.379679144385027
2004,CALS,27.88272921108742,2.923240938166311,7.953091684434968
2004,DSGN,29.978779840848805,3.1007957559681696,7.6923076923076925
2004,ENGR,44.76148796498906,5.512035010940919,8.452954048140043
2004,INDIS,42.07660626029654,5.2026359143327845,7.986820428336079
2004,LAS,64.28063241106719,10.86627140974967,12.145586297760211
2004,LIB,1811.3333333333333,296.0,16.333333333333332
2005,BUS,102.321608040201,11.095477386934673,6.678391959798995
2005,CALS,27.014373716632445,2.6386036960985626,8.1088295687885
2005,DSGN,30.15536723163842,2.994350282485876,9.615819209039548
2005,ENGR,44.702643171806166,5.072687224669603,8.431718061674008
2005,H SCI,39.109756097560975,2.975609756097561,6.016260162601626
2005,INDIS,42.498385360602796,6.320775026910656,8.73842841765339
2005,LAS,64.18375774260151,11.618719889883002,13.308327598072953
2005,LIB,1771.0,255.66666666666666,14.666666666666666
2006,BUS,98.98,10.985,7.72
2006,CALS,24.470588235294116,2.668627450980392,7.988235294117647
2006,DSGN,30.443181818181817,2.6136363636363638,8.008522727272727
2006,ENGR,43.38137472283814,5.0266075388026605,8.56541019955654
2006,H SCI,35.01204819277108,2.3717728055077454,5.351118760757315
2006,INDIS,49.03600654664484,8.548281505728314,10.76923076923077
2006,LAS,61.43424657534246,10.547260273972602,12.523972602739725
2006,LIB,1787.6666666666667,245.33333333333334,14.666666666666666
2007,BUS,96.1608040201005,10.748743718592964,8.683417085427136
2007,CALS,26.828920570264767,2.9592668024439917,7.861507128309572
2007,DSGN,32.51724137931034,3.0201149425287355,7.494252873563219
2007,ENGR,41.46969696969697,4.538961038961039,8.43939393939394
2007,H SCI,34.64309764309764,2.0774410774410774,5.168350168350169
2007,INDIS,50.46915584415584,8.397727272727273,10.965909090909092
2007,LAS,64.26530612244898,10.892329345531316,12.501759324419423
2007,LIB,2008.6666666666667,314.3333333333333,15.333333333333334
2008,BUS,101.12169312169313,10.814814814814815,5.862433862433862
2008,CALS,28.275449101796408,2.8982035928143715,8.740518962075848
2008,DSGN,31.873595505617978,2.514044943820225,7.129213483146067
2008,ENGR,42.016666666666666,4.46875,8.345833333333333
2008,H SCI,36.061258278145694,2.365894039735099,5.354304635761589
2008,INDIS,51.77535101404056,8.489859594383775,10.485179407176288
2008,LAS,65.52137351086195,11.068675543097408,11.229152067274
2008,LIB,1950.0,311.0,15.666666666666666
2009,BUS,102.85492227979275,11.352331606217616,7.108808290155441
2009,CALS,29.47826086956522,2.727788279773157,7.66351606805293
2009,DSGN,34.31486880466473,3.3352769679300294,7.836734693877551
2009,ENGR,44.446938775510205,4.96530612244898,9.122448979591837
2009,H SCI,38.623140495867766,2.4644628099173556,5.317355371900827
2009,INDIS,54.06269592476489,8.576802507836991,9.993730407523511
2009,LAS,68.99146514935988,11.983641536273115,12.14864864864865
2009,LIB,2044.6666666666667,304.6666666666667,17.666666666666668
2010,BUS,99.52525252525253,10.616161616161616,7.141414141414141
2010,CALS,31.455238095238094,3.1542857142857144,7.885714285714286
2010,DSGN,33.568306010928964,2.8442622950819674,6.762295081967213
2010,ENGR,45.48039215686274,5.158823529411765,7.3352941176470585
2010,H SCI,42.22222222222222,2.8822553897180763,5.353233830845771
2010,INDIS,55.49686520376176,8.95924764890282,10.344827586206897
2010,LAS,71.79726815240834,12.465851905104241,11.98921639108555
2010,LIB,2013.0,264.6666666666667,14.333333333333334
2011,BUS,104.24365482233503,10.893401015228426,7.7360406091370555
2011,CALS,31.191304347826087,3.1321739130434785,7.584347826086956
2011,DSGN,31.223350253807105,2.733502538071066,6.350253807106599
2011,ENGR,50.48261758691206,6.008179959100205,8.212678936605316
2011,H SCI,46.25969645868465,3.0927487352445193,5.190556492411467
2011,INDIS,56.679049034175335,8.976225854383358,11.233283803863298
2011,LAS,70.0673076923077,11.738324175824175,11.658653846153847
2011,LIB,2062.6666666666665,195.0,13.333333333333334
2012,BUS,109.85572139303483,12.338308457711443,7.925373134328358
2012,CALS,33.147840531561464,3.064784053156146,7.799003322259137
2012,DSGN,31.739795918367346,2.818877551020408,6.466836734693878
2012,ENGR,54.57026476578412,5.985743380855397,9.0020366598778
2012,H SCI,47.949764521193096,3.328100470957614,6.0957613814756675
2012,INDIS,60.71969696969697,9.18030303030303,10.495454545454546
2012,LAS,71.60512129380054,11.725067385444744,11.270215633423181
2012,LIB,2129.0,177.33333333333334,10.333333333333334
2013,BUS,120.73604060913705,13.644670050761421,8.98477157360406
2013,CALS,36.661211129296234,3.502454991816694,7.811783960720131
2013,DSGN,31.24547803617571,2.5633074935400515,6.775193798449612
2013,ENGR,59.201219512195124,7.355691056910569,9.96951219512195
2013,H SCI,51.23384615384615,3.56,5.570769230769231
2013,INDIS,63.876288659793815,9.698085419734904,9.708394698085419
2013,LAS,77.08845888044229,12.643400138217,11.290255701451278
2013,LIB,2445.6666666666665,157.33333333333334,7.0
2014,BUS,121.76616915422886,13.870646766169154,8.149253731343284
2014,CALS,40.08524590163935,3.557377049180328,6.881967213114754
2014,DSGN,33.56403269754768,2.3841961852861036,6.23433242506812
2014,ENGR,61.345098039215685,7.825490196078431,8.782352941176471
2014,H SCI,53.47800586510264,3.8577712609970676,5.697947214076247
2014,INDIS,63.840395480225986,9.285310734463277,10.439265536723164
2014,LAS,77.15049504950495,12.378877887788779,11.01980198019802
2014,LIB,2624.0,139.66666666666666,9.0
2015,BUS,124.77294685990339,12.96135265700483,7.231884057971015
2015,CALS,43.33554817275748,3.913621262458472,8.318936877076412
2015,DSGN,35.74344023323615,2.425655976676385,6.50728862973761
2015,ENGR,63.80694980694981,7.94015444015444,9.374517374517374
2015,H SCI,53.54689754689755,3.445887445887446,5.043290043290043
2015,INDIS,64.2986301369863,8.754794520547945,8.610958904109589
2015,LAS,78.54172099087353,12.3754889178618,10.926336375488917
2015,LIB,2630.3333333333335,124.66666666666667,5.333333333333333
2016,BUS,128.7557603686636,12.949308755760368,7.055299539170507
2016,CALS,44.18616144975288,3.85996705107084,7.835255354200989
2016,DSGN,35.99715909090909,2.5795454545454546,6.394886363636363
2016,ENGR,65.57598499061913,7.896810506566604,8.787992495309568
2016,H SCI,53.28288543140028,3.4257425742574257,4.872701555869873
2016,INDIS,65.378231292517,8.914285714285715,9.537414965986395
2016,LAS,78.26812059012187,12.016677357280308,11.014111610006415
2016,LIB,2647.3333333333335,110.33333333333333,3.6666666666666665
2017,BUS,139.02764976958525,13.396313364055299,6.829493087557604
2017,CALS,42.458990536277604,3.8201892744479493,7.178233438485805
2017,DSGN,36.47671232876712,2.6301369863013697,7.443835616438356
2017,ENGR,66.09255898366607,7.691470054446461,8.225045372050817
2017,H SCI,50.97115384615385,3.230769230769231,4.7032967032967035
2017,INDIS,63.04959785522788,8.410187667560322,9.766756032171582
2017,LAS,77.03380102040816,11.490433673469388,10.744260204081632
2017,LIB,2602.0,119.33333333333333,5.333333333333333
2018,BUS,125.7063492063492,11.26984126984127,6.325396825396825
2018,CALS,39.03669724770642,3.0122324159021407,5.7217125382263
2018,DSGN,32.80104712041885,2.7905759162303663,7.214659685863874
2018,ENGR,64.06382978723404,7.641843971631205,8.794326241134751
2018,H SCI,45.423772609819125,2.764857881136951,5.183462532299742
2018,INDIS,55.42014742014742,7.00982800982801,10.567567567567568
2018,LAS,66.17233294255568,9.376318874560376,9.876905041031653
2018,LIB,1739.5,96.0,6.5
