,major, class
0,Agricultural and Life Sciences Education- B.S - communications option,ENGL 150
1,Agricultural and Life Sciences Education- B.S - communications option,ENGL 250
2,Agricultural and Life Sciences Education- B.S - communications option,AGEDS 311
3,Agricultural and Life Sciences Education- B.S - communications option,LIB 160
4,Agricultural and Life Sciences Education- B.S - communications option,PSYCH 230
5,Agricultural and Life Sciences Education- B.S - communications option,CHEM 163
6,Agricultural and Life Sciences Education- B.S - communications option,MATH 104
7,Agricultural and Life Sciences Education- B.S - communications option,BIOL 211
8,Agricultural and Life Sciences Education- B.S - communications option,BIOL 212
9,Agricultural and Life Sciences Education- B.S - communications option,STAT 104
10,Agricultural and Life Sciences Education- B.S - communications option,ACCT 284
11,Agricultural and Life Sciences Education- B.S - communications option,AGEDS 315
12,Agricultural and Life Sciences Education- B.S - communications option,AGEDS 488
13,Agricultural and Life Sciences Education- B.S - communications option,AN S 101
14,Agricultural and Life Sciences Education- B.S - communications option,AGRON 181
15,Agricultural and Life Sciences Education- B.S - communications option,AGRON 182
16,Agricultural and Life Sciences Education- B.S - communications option,AN S 114
17,Agricultural and Life Sciences Education- B.S - communications option,ECON 101
18,Agricultural and Life Sciences Education- B.S - communications option,ECON 230
19,Agricultural and Life Sciences Education- B.S - communications option,NREM 120
20,Agricultural and Life Sciences Education- B.S - communications option,AGEDS 110A
21,Agricultural and Life Sciences Education- B.S - communications option,AGEDS 211A
22,Agricultural and Life Sciences Education- B.S - communications option,AGEDS 310
23,Agricultural and Life Sciences Education- B.S - communications option,AGEDS 401
24,Agricultural and Life Sciences Education- B.S - communications option,AGEDS 402
25,Agricultural and Life Sciences Education- B.S - communications option,AGEDS 416
26,Agricultural and Life Sciences Education- B.S - communications option,AGEDS 417
27,Agricultural and Life Sciences Education- B.S - communications option,C I 202
28,Agricultural and Life Sciences Education- B.S - communications option,C I 204
29,Agricultural and Life Sciences Education- B.S - communications option,C I 333
30,Agricultural and Life Sciences Education- B.S - communications option,C I 406
31,Agricultural and Life Sciences Education- B.S - communications option,SP ED 401
32,Agricultural and Life Sciences Education- B.S - communications option,ENGL 150
33,Agricultural and Life Sciences Education- B.S - communications option,ENGL 250
34,Agricultural and Life Sciences Education- B.S - communications option,AGEDS 311
35,Agricultural and Life Sciences Education- B.S - communications option,LIB 160
36,Agricultural and Life Sciences Education- B.S - communications option,AGEDS 327
37,Agricultural and Life Sciences Education- B.S - communications option,ECON 101
38,Agricultural and Life Sciences Education- B.S - communications option,CHEM 163
39,Agricultural and Life Sciences Education- B.S - communications option,MATH 104
40,Agricultural and Life Sciences Education- B.S - communications option,BIOL 211
41,Agricultural and Life Sciences Education- B.S - communications option,BIOL 212
42,Agricultural and Life Sciences Education- B.S - communications option,STAT 101
43,Agricultural and Life Sciences Education- B.S - communications option,AGEDS 110A
44,Agricultural and Life Sciences Education- B.S - communications option,AGEDS 211
45,Agricultural and Life Sciences Education- B.S - communications option,AGEDS 215
46,Agricultural and Life Sciences Education- B.S - communications option,AGEDS 315
47,Agricultural and Life Sciences Education- B.S - communications option,AGEDS 412
48,Agricultural and Life Sciences Education- B.S - communications option,AGEDS 211
